slug,name
push-ups,Push-ups
pull-ups,Pull-ups
squats,Squats
deadlift,Deadlift
bench-press,Bench Press
overhead-press,Overhead Press
rows,Rows
dips,Dips
chin-ups,Chin-ups
lunges,Lunges
bulgarian-split-squats,Bulgarian Split Squats
calf-raises,Calf Raises
leg-press,Leg Press
leg-curls,Leg Curls
leg-extensions,Leg Extensions
hip-thrusts,Hip Thrusts
glute-bridges,Glute Bridges
planks,Planks
crunches,Crunches
russian-twists,Russian Twists
leg-raises,Leg Raises
mountain-climbers,Mountain Climbers
burpees,Burpees
jumping-jacks,Jumping Jacks
high-knees,High Knees
butt-kicks,Butt Kicks
bear-crawls,Bear Crawls
crab-walks,Crab Walks
lateral-raises,Lateral Raises
front-raises,Front Raises
rear-delt-flyes,Rear Delt Flyes
shrugs,Shrugs
upright-rows,Upright Rows
face-pulls,Face Pulls
tricep-dips,Tricep Dips
tricep-extensions,Tricep Extensions
close-grip-push-ups,Close Grip Push-ups
diamond-push-ups,Diamond Push-ups
pike-push-ups,Pike Push-ups
archer-push-ups,Archer Push-ups
decline-push-ups,Decline Push-ups
incline-push-ups,Incline Push-ups
wide-grip-push-ups,Wide Grip Push-ups
single-arm-push-ups,Single Arm Push-ups
handstand-push-ups,Handstand Push-ups
wall-sits,Wall Sits
single-leg-squats,Single Leg Squats
jump-squats,Jump Squats
sumo-squats,Sumo Squats
goblet-squats,Goblet Squats
front-squats,Front Squats
hack-squats,Hack Squats
sissy-squats,Sissy Squats
cossack-squats,Cossack Squats
reverse-lunges,Reverse Lunges
walking-lunges,Walking Lunges
lateral-lunges,Lateral Lunges
curtsy-lunges,Curtsy Lunges
step-ups,Step-ups
box-jumps,Box Jumps
broad-jumps,Broad Jumps
single-leg-deadlifts,Single Leg Deadlifts
romanian-deadlifts,Romanian Deadlifts
sumo-deadlifts,Sumo Deadlifts
rack-pulls,Rack Pulls
good-mornings,Good Mornings
hyperextensions,Hyperextensions
reverse-hyperextensions,Reverse Hyperextensions
side-planks,Side Planks
plank-up-downs,Plank Up-downs
plank-jacks,Plank Jacks
plank-shoulder-taps,Plank Shoulder Taps
hollow-body-holds,Hollow Body Holds
dead-bugs,Dead Bugs
bird-dogs,Bird Dogs
superman,Superman
bicycle-crunches,Bicycle Crunches
reverse-crunches,Reverse Crunches
v-ups,V-ups
sit-ups,Sit-ups
flutter-kicks,Flutter Kicks
scissor-kicks,Scissor Kicks
hanging-leg-raises,Hanging Leg Raises
knee-to-elbow,Knee to Elbow
wood-choppers,Wood Choppers
turkish-get-ups,Turkish Get-ups
farmer-walks,Farmer Walks
suitcase-carries,Suitcase Carries
overhead-carries,Overhead Carries
front-loaded-carries,Front Loaded Carries
kettlebell-swings,Kettlebell Swings
kettlebell-snatches,Kettlebell Snatches
kettlebell-cleans,Kettlebell Cleans
kettlebell-presses,Kettlebell Presses
kettlebell-rows,Kettlebell Rows
thrusters,Thrusters
wall-balls,Wall Balls
battle-ropes,Battle Ropes
tire-flips,Tire Flips
sled-pushes,Sled Pushes
sled-pulls,Sled Pulls
prowler-pushes,Prowler Pushes
sandbag-carries,Sandbag Carries
atlas-stone-lifts,Atlas Stone Lifts
medicine-ball-slams,Medicine Ball Slams
medicine-ball-throws,Medicine Ball Throws
plyometric-push-ups,Plyometric Push-ups
clapping-push-ups,Clapping Push-ups
explosive-push-ups,Explosive Push-ups
jump-lunges,Jump Lunges
lateral-bounds,Lateral Bounds
depth-jumps,Depth Jumps
tuck-jumps,Tuck Jumps
star-jumps,Star Jumps
skater-hops,Skater Hops
single-leg-hops,Single Leg Hops
double-leg-bounds,Double Leg Bounds
seated-rows,Seated Rows
bent-over-rows,Bent-over Rows
t-bar-rows,T-bar Rows
landmine-rows,Landmine Rows
single-arm-rows,Single Arm Rows
inverted-rows,Inverted Rows
chest-flyes,Chest Flyes
incline-flyes,Incline Flyes
decline-flyes,Decline Flyes
cable-flyes,Cable Flyes
pec-deck,Pec Deck
chest-press,Chest Press
incline-press,Incline Press
decline-press,Decline Press
dumbbell-press,Dumbbell Press
hammer-curls,Hammer Curls
bicep-curls,Bicep Curls
concentration-curls,Concentration Curls
preacher-curls,Preacher Curls
spider-curls,Spider Curls
21s-curls,21s Curls
cable-curls,Cable Curls
barbell-curls,Barbell Curls
overhead-tricep-extensions,Overhead Tricep Extensions
lying-tricep-extensions,Lying Tricep Extensions
french-press,French Press
kickbacks,Kickbacks
tricep-pushdowns,Tricep Pushdowns
rope-pushdowns,Rope Pushdowns
reverse-grip-pushdowns,Reverse Grip Pushdowns
wrist-curls,Wrist Curls
reverse-wrist-curls,Reverse Wrist Curls
finger-extensions,Finger Extensions
grip-crushers,Grip Crushers
plate-pinches,Plate Pinches